12|Elvis Tanyasi|1|0|0|0|0|3.8|2||NJ Devils|njd|19213218|0|0|0|0|fla|20.02.2011|
13|Patrik Janík|1|0|0|0|0|3.9|0||NJ Devils|njd|13602157|0|0|0|0|fla|20.02.2011|
14|Zacharias Bersnak|1|0|0|0|0|3.9|0||NJ Devils|njd|19221873|0|0|0|0|fla|20.02.2011|
15|Jakub Pražák|1|0|0|0|0|3.9|0||NJ Devils|njd|13171659|0|0|2|0|fla|20.02.2011|
16|Adrián Révay|1|0|0|0|0|4.2|6||Carolina|car|16437888|0|0|0|0|ott|20.02.2011|
17|Iľja Pavlikovský|1|0|0|0|0|4.2|1||Carolina|car|13607461|0|0|0|0|ott|20.02.2011|
18|Servác Gregorík|1|0|0|0|0|4.2|0||Carolina|car|13378218|0|0|6|0|ott|20.02.2011|
19|Cyrus Sionko|1|0|0|0|1|4.5|4||Carolina|car|27589147|0|0|2|0|ott|20.02.2011|
20|Paul Dormann|1|1|0|1|1|5.5|3||Carolina|car|16221937|0|0|0|0|ott|20.02.2011|
21|Sebastjan Šter|1|0|1|1|1|5.7|2||Carolina|car|17122049|0|0|4|0|ott|20.02.2011|
22|Eduard Šútor|1|1|0|1|1|5.6|1||Carolina|car|14656743|0|0|0|0|ott|20.02.2011|
23|Christopher Libby|1|0|0|0|1|4.5|0||Carolina|car|17105704|0|0|0|0|ott|20.02.2011|
24|Egils Eglītis|1|0|1|1|1|5.5|1||Carolina|car|13854654|0|0|0|0|ott|20.02.2011|
25|Dragan Simić|1|0|0|0|0|4.2|3||Carolina|car|13121101|0|0|0|0|ott|20.02.2011|
26|Miodrag Vukotić|1|0|0|0|0|4.1|2||Carolina|car|14194745|0|0|0|0|ott|20.02.2011|
27|Tiberiu Olteanu|1|0|1|1|1|5.6|3||Carolina|car|16464988|0|0|0|0|ott|20.02.2011|
28|Brian Ihlica|1|0|0|0|1|4.5|2||Carolina|car|15599805|0|0|0|0|ott|20.02.2011|
29|Radoslav Sabadkovič|1|0|0|0|1|4.6|0||Carolina|car|26903433|0|0|2|0|ott|20.02.2011|
30|Viorel Gheorghe|1|0|1|1|1|5.5|1||Carolina|car|15531929|0|0|0|0|ott|20.02.2011|
