22:12:59 11.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=po&team=phi&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:12:27 11.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=po&team=phi&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:11:58 11.02.2013|65.55.24.233|stats.php|&s=34&pos=goalies&type=po&team=wpg&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:11:26 11.02.2013|65.55.24.233|stats.php|&s=34&pos=goalies&type=po&team=wpg&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:10:56 11.02.2013|157.55.32.190|stats.php|&s=34&pos=defs&type=reg&team=njd&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:10:26 11.02.2013|157.55.32.190|stats.php|&s=34&pos=defs&type=reg&team=njd&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:09:59 11.02.2013|66.249.78.186|player_stats.php|&pos=points&name=Vojm--r Penjak&id_player=29567710&s=28||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:09:56 11.02.2013|157.55.32.190|stats.php|&s=34&pos=defs&type=reg&team=nas&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:09:26 11.02.2013|157.55.32.190|stats.php|&s=34&pos=defs&type=reg&team=nas&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:08:57 11.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=po&team=edm&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:07:28 11.02.2013|157.55.36.45|stats.php|&s=34&pos=defs&type=reg&team=njd&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:07:17 11.02.2013|66.249.75.13|stats.php|&s=01&pos=all&type=reg&team=was&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
