12:58:22 13.02.2013|66.249.76.28|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
12:58:11 13.02.2013|157.55.33.47|stats.php|&s=19&pos=points&type=po&team=tbl&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:57:36 13.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Alan Seabury&id_player=12716374&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:57:05 13.02.2013|157.55.32.189|stats.php|&s=11&pos=points&type=reg&team=cbj&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:56:40 13.02.2013|157.55.32.189|stats.php|&s=11&pos=points&type=reg&team=cbj&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:56:07 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Silvester P----ick--&id_player=27238552&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:55:40 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Serv--c Gregor--k&id_player=13378218&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:55:11 13.02.2013|66.249.76.180|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
12:55:07 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Sandis Pirtnieks&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:54:36 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Rudolfs Ignatovi--s&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:54:06 13.02.2013|157.55.33.47|stats.php|&s=13&pos=points&type=reg&team=tbl&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:53:38 13.02.2013|157.55.32.113|stats.php|&s=04&pos=points&type=po&team=van&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:53:05 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Rudolf Filip&id_player=11971266&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:52:38 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Roman Halu--ka&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:52:10 13.02.2013|157.55.32.113|stats.php|&s=03&pos=points&type=reg&team=van&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:51:36 13.02.2013|157.55.33.47|stats.php|&s=25&pos=points&type=reg&team=lak&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:51:10 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Robin Margot&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:50:39 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Adam Nov--&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:50:17 13.02.2013|178.33.122.74|player_stats.php|&pos=points&name=Jan Pr----ek&id_player=&s=alltime||Mozilla/5.0 (X11; Linux i686; rv:6.0) Gecko/20100101 Firefox/6.0| - 
12:50:12 13.02.2013|157.55.33.123|player_stats.php|&pos=points&name=Adelfo Bartolini&id_player=6395399&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:49:36 13.02.2013|157.55.33.47|stats.php|&s=25&pos=points&type=reg&team=lak&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:49:08 13.02.2013|157.55.33.47|stats.php|&s=25&pos=points&type=reg&team=det&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:48:09 13.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Ahti Pekola&id_player=19337320&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:47:50 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Raymond De Graaff&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:47:07 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Rastislav Luk--o&id_player=28989942&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:46:36 13.02.2013|157.55.32.113|stats.php|&s=03&pos=goalies&type=reg&team=van&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:46:19 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Rastislav --erve--&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:45:43 13.02.2013|157.55.32.113|stats.php|&s=34&pos=goalies&type=reg&team=tor&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:45:12 13.02.2013|157.55.33.47|stats.php|&s=25&pos=points&type=reg&team=det&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:44:39 13.02.2013|157.55.33.47|stats.php|&s=25&pos=goalies&type=reg&team=wpg&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:44:32 13.02.2013|178.154.165.251|stats.php|&s=02&pos=all&type=reg&team=cbj&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
12:44:25 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Radek Dokoupil&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:43:36 13.02.2013|157.55.32.113|stats.php|&s=26&pos=all&type=po&team=tor&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:43:09 13.02.2013|157.55.32.113|stats.php|&s=13&pos=points&type=reg&team=tor&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:42:36 13.02.2013|157.55.33.47|stats.php|&s=25&pos=goalies&type=reg&team=wpg&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:42:07 13.02.2013|157.55.33.47|stats.php|&s=25&pos=defs&type=reg&team=wpg&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:41:37 13.02.2013|157.55.33.47|stats.php|&s=25&pos=defs&type=reg&team=was&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:41:13 13.02.2013|66.249.76.32|player_stats.php|&pos=points&name=Marek Sl----&id_player=18115266&s=31||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
12:41:11 13.02.2013|157.55.32.113|stats.php|&s=10&pos=defs&type=po&team=tor&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:40:40 13.02.2013|157.55.33.47|stats.php|&s=13&pos=defs&type=reg&team=bos&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:40:05 13.02.2013|157.55.33.47|stats.php|&s=11&pos=points&type=reg&team=was&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:39:38 13.02.2013|157.55.33.47|stats.php|&s=11&pos=points&type=reg&team=van&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:39:08 13.02.2013|157.55.33.47|stats.php|&s=11&pos=points&type=reg&team=nas&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:38:40 13.02.2013|157.55.33.47|stats.php|&s=11&pos=points&type=reg&team=nas&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:38:15 13.02.2013|157.55.33.47|stats.php|&s=11&pos=points&type=reg&team=col&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:37:38 13.02.2013|157.55.33.47|stats.php|&s=11&pos=points&type=reg&team=cbj&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:37:15 13.02.2013|157.55.32.113|stats.php|&s=07&pos=points&type=po&team=tor&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:36:37 13.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Sergej Kostel----k&id_player=9449928&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:36:08 13.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Santeri --ij--l--&id_player=14354787&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:35:37 13.02.2013|157.55.32.113|stats.php|&s=04&pos=goalies&type=po&team=tor&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:35:05 13.02.2013|157.55.32.113|stats.php|&s=03&pos=goalies&type=reg&team=tor&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:34:39 13.02.2013|157.55.32.113|stats.php|&s=03&pos=goalies&type=reg&team=tor&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:34:27 13.02.2013|66.249.76.9|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
12:34:11 13.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Sakari Kaasonen&id_player=14368337&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:33:38 13.02.2013|157.55.32.190|stats.php|&s=04&pos=goalies&type=po&team=van&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:33:09 13.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Roland Bourgeois&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:32:35 13.02.2013|157.55.32.113|stats.php|&s=03&pos=goalies&type=reg&team=tor&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:32:16 13.02.2013|157.55.32.113|stats.php|&s=34&pos=goalies&type=reg&team=tbl&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:32:04 13.02.2013|66.249.76.197|player_stats.php|&pos=points&name=Vja--eslavs Aukli----&id_player=26167881&s=26||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
12:31:47 13.02.2013|157.55.32.190|stats.php|&s=27&pos=defs&type=po&team=tor&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:31:17 13.02.2013|66.249.76.184|schedule.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
12:31:06 13.02.2013|157.55.32.190|stats.php|&s=25&pos=goalies&type=reg&team=tor&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:30:39 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Aku Turkia&id_player=29547602&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:30:05 13.02.2013|157.55.32.190|stats.php|&s=06&pos=goalies&type=po&team=tor&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:29:36 13.02.2013|157.55.32.190|stats.php|&s=04&pos=points&type=po&team=tor&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:29:17 13.02.2013|157.55.32.190|stats.php|&s=31&pos=points&type=reg&team=tbl&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:28:37 13.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Razvan --iriac&id_player=12665018&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:28:12 13.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Adam Havr--nek&id_player=7301324&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
