19:33:25 11.02.2013|157.55.32.189|stats.php|&s=11&pos=defs&type=po&team=lak&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:32:55 11.02.2013|157.55.32.189|stats.php|&s=04&pos=all&type=po&team=lak&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:32:28 11.02.2013|157.55.32.189|stats.php|&s=03&pos=goalies&type=reg&team=lak&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:31:58 11.02.2013|66.249.78.166|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:31:56 11.02.2013|157.55.32.189|stats.php|&s=31&pos=goalies&type=reg&team=fla&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:31:51 11.02.2013|66.249.78.172|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:31:26 11.02.2013|157.55.32.190|stats.php|&s=27&pos=defs&type=po&team=buf&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:30:56 11.02.2013|157.55.32.189|stats.php|&s=26&pos=defs&type=reg&team=fla&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:30:29 11.02.2013|157.55.32.189|stats.php|&s=26&pos=goalies&type=reg&team=nas&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:29:56 11.02.2013|157.55.32.189|stats.php|&s=26&pos=goalies&type=reg&team=nas&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:29:26 11.02.2013|157.55.32.189|stats.php|&s=25&pos=points&type=reg&team=wpg&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:28:56 11.02.2013|157.55.32.189|stats.php|&s=25&pos=points&type=reg&team=wpg&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:28:44 11.02.2013|66.249.78.197|player_stats.php|&pos=points&name=Jan Pol----ek&id_player=23055838&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:28:38 11.02.2013|66.249.78.178|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:28:29 11.02.2013|157.55.32.189|stats.php|&s=13&pos=defs&type=reg&team=buf&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:27:57 11.02.2013|157.55.32.190|stats.php|&s=31&pos=points&type=reg&team=buf&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:27:45 11.02.2013|66.249.78.185|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:27:25 11.02.2013|157.55.32.190|stats.php|&s=31&pos=all&type=reg&team=buf&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:26:57 11.02.2013|157.55.32.190|stats.php|&s=04&pos=goalies&type=po&team=njd&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:26:53 11.02.2013|66.249.78.181|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:26:53 11.02.2013|66.249.78.217|player_stats.php|&pos=points&name=Victor Scanff&id_player=30638757&s=29||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:26:43 11.02.2013|66.249.78.203|manager_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:26:43 11.02.2013|66.249.78.195|player_stats.php|&pos=points&name=Lauris Dzintari----&id_player=18297705&s=33||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:26:37 11.02.2013|66.249.75.200|stats.php|&s=18&pos=goals&type=po&team=tbl&sort=&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:26:29 11.02.2013|157.55.32.189|stats.php|&s=13&pos=defs&type=reg&team=buf&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:25:56 11.02.2013|157.55.32.190|stats.php|&s=04&pos=goalies&type=po&team=bos&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:25:45 11.02.2013|66.249.75.204|player_stats.php|&pos=points&name=Mikael Berger&id_player=31652271&s=33||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:25:28 11.02.2013|157.55.32.190|stats.php|&s=03&pos=points&type=reg&team=njd&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:24:59 11.02.2013|157.55.32.190|stats.php|&s=03&pos=points&type=reg&team=njd&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:24:38 11.02.2013|66.249.75.188|player_stats.php|&pos=points&name=Gabriel Green&id_player=14037449&s=26||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:24:27 11.02.2013|157.55.32.190|stats.php|&s=03&pos=points&type=reg&team=njd&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:24:19 11.02.2013|66.249.75.174|stats.php|&s=08&pos=points&type=po&team=chi&sort=shg&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:24:00 11.02.2013|157.55.32.190|stats.php|&s=03&pos=points&type=reg&team=njd&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:23:51 11.02.2013|66.249.75.207|player_stats.php|&pos=points&name=Dominik Uher&id_player=17717878&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:23:48 11.02.2013|66.249.78.218|player_stats.php|&pos=points&name=Tom---- Mal--&id_player=&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:23:33 11.02.2013|66.249.78.184|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:23:28 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Pravomil Ska--an&id_player=27116118&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:23:07 11.02.2013|66.249.75.191|player_stats.php|&pos=points&name=Koloman Pridavec&id_player=19249870&s=31||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:22:57 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Augusto Lledo&id_player=17491766&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:22:26 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Artiom Vuia&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:22:18 11.02.2013|66.249.78.194|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:22:08 11.02.2013|66.249.75.217|player_stats.php|&pos=points&name=Marek Lipt--k&id_player=29219786&s=33||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:21:58 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Ardghal Aston&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:21:31 11.02.2013|66.249.75.215|player_stats.php|&pos=points&name=Matej Mur--r&id_player=29567618&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:21:26 11.02.2013|157.55.32.190|stats.php|&s=03&pos=points&type=reg&team=min&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:20:57 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Anton--n Dokoupil&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:20:26 11.02.2013|157.55.32.190|stats.php|&s=03&pos=points&type=reg&team=car&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:20:00 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Antero Punkari&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:19:28 11.02.2013|65.55.24.233|stats.php|&s=11&pos=defs&type=po&team=cgy&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:18:55 11.02.2013|66.249.75.188|player_stats.php|&pos=points&name=Artis Melnb--rdis&id_player=28292247&s=25||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:18:55 11.02.2013|157.55.36.45|stats.php|&s=25&pos=points&type=reg&team=nas&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:18:54 11.02.2013|66.249.78.210|player_stats.php|&pos=points&name=Jakub Bern--th&id_player=16813441&s=27||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:18:51 11.02.2013|66.249.78.184|player_stats.php|&pos=points&name=R--me-- Szuper&id_player=32071128&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:18:29 11.02.2013|157.55.36.45|stats.php|&s=13&pos=defs&type=reg&team=car&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:17:56 11.02.2013|157.55.32.61|stats.php|&s=03&pos=points&type=reg&team=bos&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:17:26 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Andrey Komarov&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:16:56 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Alexander Dashkov&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:16:40 11.02.2013|66.249.78.216|player_stats.php|&pos=points&name=Andris Asaris&id_player=22263678&s=28||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:16:29 11.02.2013|66.249.78.184|player_stats.php|&pos=points&name=Ale-- Kost--k&id_player=14466598&s=28||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:16:26 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Alex Liz--k&id_player=26166414&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:15:59 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Albert--n Cimbala&id_player=25743846&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:15:41 11.02.2013|157.55.33.47|player_stats.php|&pos=points&name=Alb--n Drozda&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:15:03 11.02.2013|66.249.78.172|player_stats.php|&pos=points&name=Remus Kalatovi--&id_player=18142888&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:14:58 11.02.2013|66.249.78.214|player_stats.php|&pos=goalies&name=Simo --or--evi--&id_player=6254090&s=27||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:14:55 11.02.2013|157.55.33.47|stats.php|&s=20&pos=points&type=po&team=cgy&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:14:27 11.02.2013|157.55.33.47|stats.php|&s=04&pos=points&type=po&team=cgy&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:13:56 11.02.2013|157.55.33.47|stats.php|&s=04&pos=goalies&type=po&team=cgy&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:13:32 11.02.2013|66.249.75.205|player_stats.php|&pos=goalies&name=Kevin Wickli&id_player=8647053&s=28||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:13:25 11.02.2013|157.55.33.47|stats.php|&s=03&pos=points&type=reg&team=cgy&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:12:58 11.02.2013|157.55.33.47|stats.php|&s=03&pos=points&type=reg&team=cgy&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:12:46 11.02.2013|66.249.78.219|news.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
