00:25:52 14.02.2013|66.249.75.21|stats.php|&s=03&pos=all&type=reg&team=ana&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:22:14 14.02.2013|66.249.78.3|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:21:59 14.02.2013|66.249.78.195|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:21:35 14.02.2013|66.249.78.200|chuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:21:25 14.02.2013|66.249.78.4|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:19:23 14.02.2013|66.249.78.170|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:15:26 14.02.2013|66.249.78.4|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:08:33 14.02.2013|66.249.78.25|schedule.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:08:20 14.02.2013|66.249.75.216|player_stats.php|&pos=points&name=Etienne Julien&id_player=24562829&s=25||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:08:19 14.02.2013|66.249.78.46|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:08:09 14.02.2013|66.249.78.37|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:01:49 14.02.2013|66.249.78.201|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:01:34 14.02.2013|66.249.75.186|stats.php|&s=02&pos=goalies&type=po&team=fla&sort=svs&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:00:44 14.02.2013|66.249.75.174|stats.php|&s=07&pos=goalies&type=reg&team=tor&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:00:42 14.02.2013|66.249.75.34|teams_compare.php|&team1=ana&team2=sjs||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
00:00:18 14.02.2013|66.249.78.173|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
23:51:11 13.02.2013|66.249.75.198|stats.php|&s=07&pos=goalies&type=reg&team=tor&sort=perf&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
23:50:49 13.02.2013|66.249.78.54|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
