06:22:58 13.02.2013|157.55.32.58|stats.php|&s=34&pos=points&type=reg&team=chi&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:22:34 13.02.2013|157.55.32.58|stats.php|&s=34&pos=points&type=reg&team=chi&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:21:57 13.02.2013|157.55.32.58|stats.php|&s=34&pos=all&type=po&team=chi&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:21:34 13.02.2013|157.55.32.185|stats.php|&s=34&pos=defs&type=reg&team=cgy&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:21:12 13.02.2013|66.249.78.206|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:20:26 13.02.2013|157.55.32.189|stats.php|&s=allstats&pos=all&type=reg&team=col&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:19:57 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=col&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:19:35 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=col&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:19:25 13.02.2013|66.249.76.199|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:18:56 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=col&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:18:28 13.02.2013|157.56.93.201|stats.php|&s=34&pos=all&type=po&team=dal&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:18:05 13.02.2013|157.55.32.58|stats.php|&s=35&pos=all&type=reg&team=cgy&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:17:54 13.02.2013|66.249.78.42|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:17:30 13.02.2013|157.55.32.58|stats.php|&s=34&pos=points&type=reg&team=cgy&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:16:58 13.02.2013|157.56.93.201|stats.php|&s=34&pos=points&type=reg&team=col&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:16:39 13.02.2013|157.56.93.201|stats.php|&s=34&pos=goalies&type=reg&team=col&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:16:02 13.02.2013|157.55.32.58|stats.php|&s=34&pos=points&type=reg&team=cbj&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:15:26 13.02.2013|157.55.32.185|stats.php|&s=34&pos=points&type=reg&team=cbj&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:14:59 13.02.2013|157.55.32.189|stats.php|&s=allstats&pos=all&type=reg&team=chi&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:14:28 13.02.2013|157.55.32.58|stats.php|&s=35&pos=all&type=reg&team=car&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:14:13 13.02.2013|66.249.76.213|schedule.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:13:56 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=chi&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:12:59 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=cgy&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:12:26 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=cgy&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:11:58 13.02.2013|157.55.32.189|stats.php|&s=34&pos=defs&type=reg&team=cbj&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:11:30 13.02.2013|157.56.93.201|stats.php|&s=34&pos=points&type=reg&team=chi&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:10:58 13.02.2013|157.55.32.185|stats.php|&s=34&pos=goalies&type=reg&team=cbj&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:10:28 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=ana&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
