04:28:40 12.02.2013|66.249.78.213|player_stats.php|&pos=points&name=Mikko Pyk--list--&id_player=13785263&s=26||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:28:36 12.02.2013|157.56.229.186|stats.php|&s=25&pos=defs&type=reg&team=nas&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:28:22 12.02.2013|66.249.78.217|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:28:06 12.02.2013|157.55.32.58|player_stats.php|&pos=points&name=Adam Bla--ek&id_player=20217708&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:27:35 12.02.2013|157.56.93.201|stats.php|&s=11&pos=points&type=reg&team=buf&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:27:06 12.02.2013|157.56.229.186|stats.php|&s=25&pos=defs&type=reg&team=lak&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:26:39 12.02.2013|65.55.52.119|stats.php|&s=25&pos=defs&type=reg&team=bos&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:26:08 12.02.2013|157.56.93.201|stats.php|&s=11&pos=points&type=reg&team=buf&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:25:49 12.02.2013|157.55.32.58|player_stats.php|&pos=points&name=Adam Klime--&id_player=7185803&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:25:12 12.02.2013|65.55.52.119|player_stats.php|&pos=points&name=Adam Tapio&id_player=12422016&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:24:34 12.02.2013|157.55.32.113|stats.php|&s=23&pos=points&type=reg&team=van&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
