04:17:32 13.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Luk---- Hlav----&id_player=18245433&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:29 13.02.2013|157.56.93.201|stats.php|&s=03&pos=points&type=reg&team=det&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:29 13.02.2013|157.56.93.201|stats.php|&s=06&pos=points&type=po&team=det&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:29 13.02.2013|157.56.93.201|stats.php|&s=23&pos=goalies&type=reg&team=van&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:26 13.02.2013|157.55.33.47|stats.php|&s=13&pos=points&type=reg&team=ott&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:25 13.02.2013|157.55.32.61|stats.php|&s=34&pos=goalies&type=reg&team=phi&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:25 13.02.2013|157.55.32.189|stats.php|&s=34&pos=defs&type=reg&team=phx&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:10 13.02.2013|157.55.32.189|stats.php|&s=33&pos=all&type=reg&team=det&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:01 13.02.2013|157.55.32.61|stats.php|&s=04&pos=points&type=po&team=phi&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:59 13.02.2013|157.56.93.201|stats.php|&s=23&pos=goalies&type=reg&team=lak&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:59 13.02.2013|157.56.93.201|stats.php|&s=23&pos=goalies&type=reg&team=lak&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
