14:47:56 12.02.2013|157.55.33.47|stats.php|&s=31&pos=defs&type=reg&team=fla&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:47:51 12.02.2013|66.249.75.199|stats.php|&s=08&pos=goalies&type=po&team=ana&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:47:30 12.02.2013|66.249.78.217|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:47:28 12.02.2013|157.55.32.113|stats.php|&s=30&pos=goalies&type=reg&team=bos&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:47:11 12.02.2013|66.249.75.176|stats.php|&s=30&pos=goalies&type=reg&team=was&sort=gms&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:47:09 12.02.2013|157.55.32.190|stats.php|&s=30&pos=defs&type=reg&team=bos&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:46:40 12.02.2013|66.249.78.16|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:46:39 12.02.2013|66.249.75.208|stats.php|&s=25&pos=defs&type=reg&team=nas&sort=pim&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:46:31 12.02.2013|66.249.78.185|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:46:30 12.02.2013|66.249.75.21|stats.php|&s=34&pos=goalies&type=reg&team=bos&sort=gms&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:46:25 12.02.2013|157.55.33.47|stats.php|&s=31&pos=defs&type=reg&team=det&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:46:05 12.02.2013|66.249.78.194|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:45:55 12.02.2013|157.55.33.47|stats.php|&s=31&pos=defs&type=reg&team=det&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:45:50 12.02.2013|66.249.78.195|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:45:35 12.02.2013|66.249.75.202|stats.php|&s=10&pos=all&type=reg&team=cbj&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:45:28 12.02.2013|157.55.33.47|stats.php|&s=30&pos=points&type=reg&team=mtl&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:45:00 12.02.2013|66.249.75.189|stats.php|&s=33&pos=goalies&type=reg&team=mtl&sort=svs&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:44:59 12.02.2013|157.55.32.113|stats.php|&s=30&pos=defs&type=reg&team=mtl&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:44:54 12.02.2013|66.249.78.188|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:44:36 12.02.2013|157.55.32.113|stats.php|&s=30&pos=defs&type=reg&team=bos&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:44:04 12.02.2013|157.55.32.190|stats.php|&s=13&pos=goalies&type=reg&team=car&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:43:39 12.02.2013|157.55.32.190|stats.php|&s=13&pos=goalies&type=reg&team=bos&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:43:12 12.02.2013|66.249.75.219|stats.php|&s=04&pos=all&type=reg&team=wpg&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:43:05 12.02.2013|157.55.32.189|stats.php|&s=13&pos=goalies&type=reg&team=cbj&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:42:55 12.02.2013|66.249.75.27|stats.php|&s=25&pos=all&type=po&team=nyi&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:42:47 12.02.2013|66.249.78.212|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:42:37 12.02.2013|66.249.75.176|schedule.php|&s=19&type=reg&team=phx||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:42:35 12.02.2013|157.55.32.113|stats.php|&s=13&pos=goalies&type=reg&team=col&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:42:35 12.02.2013|66.249.75.189|teams_compare.php|&team1=wpg&team2=njd||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:42:20 12.02.2013|66.249.75.188|stats.php|&s=18&pos=goals&type=reg&team=dal&sort=&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:42:17 12.02.2013|66.249.78.197|player_stats.php|&pos=points&name=Boris Horniak&id_player=26046805&s=35||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:42:14 12.02.2013|66.249.75.208|stats.php|&s=19&pos=goals&type=reg&team=car&sort=pim&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:41:58 12.02.2013|157.55.32.113|stats.php|&s=13&pos=goalies&type=reg&team=col&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:41:37 12.02.2013|66.249.78.24|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:41:30 12.02.2013|157.55.33.47|stats.php|&s=30&pos=points&type=reg&team=mtl&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:41:28 12.02.2013|66.249.75.200|stats.php|&s=19&pos=goals&type=reg&team=ott&sort=gms&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:41:02 12.02.2013|66.249.78.43|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:40:57 12.02.2013|157.55.33.47|stats.php|&s=30&pos=defs&type=reg&team=bos&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:40:36 12.02.2013|66.249.75.45|stats.php|&s=19&pos=defs&type=reg&team=cbj&sort=shs&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:40:30 12.02.2013|157.55.33.47|stats.php|&s=30&pos=defs&type=reg&team=bos&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:39:58 12.02.2013|66.249.78.205|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:39:57 12.02.2013|157.55.33.47|stats.php|&s=13&pos=goalies&type=reg&team=cbj&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:39:50 12.02.2013|66.249.75.174|stats.php|&s=21&pos=defs&type=reg&team=car&sort=&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:39:49 12.02.2013|66.249.75.211|stats.php|&s=31&pos=defs&type=po&team=bos&sort=gms&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:39:48 12.02.2013|66.249.78.218|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:39:36 12.02.2013|66.249.78.33|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:39:35 12.02.2013|66.249.78.182|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:39:28 12.02.2013|157.55.33.47|stats.php|&s=13&pos=goalies&type=reg&team=car&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:39:20 12.02.2013|66.249.75.55|schedule.php|&s=03&type=reg&team=pit||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:39:19 12.02.2013|66.249.75.213|stats.php|&s=15&pos=goalies&type=po&team=sjs&sort=shs&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:39:01 12.02.2013|66.249.78.35|schedule.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
